N1;N2;N3;N4;N5;N6;E1;E2;E3;E4;E5;E6;O1;O2;O3;O4;O5;O6;A1;A2;A3;A4;A5;A6;C1;C2;C3;C4;C5;C6
18;15;20;15;15;14;20;19;17;12;20;15;20;18;21;15;21;21;15;14;15;17;18;18;17;13;9;9;10;12
22;10;21;25;18;14;26;12;15;21;22;22;19;16;27;14;24;16;26;25;24;16;16;23;23;12;21;16;16;20
11;12;12;18;15;11;18;19;11;14;12;15;24;22;18;9;16;12;23;19;22;22;17;25;18;21;24;15;18;22
11;7;7;5;14;5;30;26;24;26;24;29;23;27;30;23;19;23;31;15;29;14;14;22;23;20;31;26;27;20
8;8;4;11;12;5;29;25;24;28;22;32;26;26;30;22;25;21;24;14;24;16;14;22;26;25;30;25;23;19
24;17;18;23;18;13;18;11;8;15;15;17;22;23;30;15;17;18;15;20;19;11;21;22;15;21;24;11;11;19
23;13;14;14;18;9;21;23;19;18;19;22;29;20;22;15;22;22;23;25;21;18;15;25;20;23;23;20;19;21
15;4;9;17;20;9;26;23;16;15;22;30;22;24;25;17;11;20;24;26;25;9;12;20;19;19;23;12;17;15
10;9;4;6;18;0;27;29;24;28;29;28;12;20;28;26;17;26;8;5;16;16;10;24;29;24;27;29;31;16
20;17;23;24;19;13;14;16;7;14;19;18;30;14;25;16;10;22;15;14;23;15;24;25;16;21;17;12;17;14
13;9;20;23;16;9;15;21;9;14;18;20;21;16;17;18;15;23;17;27;20;22;22;18;17;10;19;9;12;17
11;10;8;11;14;3;20;21;19;22;19;20;16;19;28;17;29;25;8;9;13;12;19;15;23;23;14;19;23;22
13;11;14;13;14;7;26;23;12;17;18;27;12;10;24;15;7;24;26;19;25;17;16;23;22;19;22;12;24;18
31;26;30;22;27;14;13;16;13;12;20;14;19;23;29;8;31;19;7;18;7;3;15;25;17;16;27;20;16;18
26;23;23;26;24;11;20;19;13;24;15;13;21;19;20;16;10;18;13;17;20;11;16;17;18;25;21;22;20;13
10;8;9;12;10;6;27;23;19;23;19;21;14;20;22;20;17;18;15;28;24;17;14;24;26;24;28;28;28;22
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;4;6;10;21;1;9;5;6;16;19;26;18;15;29;21;30;26;14;14;13;13;16;15;21;15;30;11;17;15
16;18;11;17;24;10;29;24;23;22;25;28;17;23;23;18;18;15;29;13;17;11;14;22;14;22;20;26;20;16
13;22;15;21;16;19;19;27;24;17;21;26;16;22;22;16;16;24;15;14;16;20;13;17;16;14;18;16;16;16
11;12;7;9;14;6;28;25;20;26;25;28;24;28;27;24;27;27;24;18;23;15;13;24;27;17;27;23;25;23
11;9;3;13;12;7;31;27;20;29;28;32;28;23;32;28;20;27;27;30;27;14;18;21;25;22;27;21;26;18
13;8;10;8;19;6;26;18;24;15;21;21;25;25;22;16;23;18;19;8;23;12;16;18;25;25;21;14;21;15
14;14;4;10;18;9;25;29;19;23;21;24;24;22;26;21;26;27;25;16;20;11;13;18;21;13;21;15;24;16
6;5;1;4;11;4;26;19;27;29;25;32;14;17;28;26;12;26;18;13;18;13;3;14;26;22;18;22;23;17
9;6;9;8;9;7;25;19;19;20;17;23;7;24;19;18;20;21;19;23;24;22;22;18;26;21;26;24;26;25
20;22;12;20;25;15;27;23;21;25;23;28;21;12;25;22;16;21;23;16;20;9;12;19;15;15;16;11;14;7
11;9;10;13;8;5;27;24;22;22;19;21;19;26;23;16;26;17;27;25;26;18;12;28;26;28;30;30;30;24
17;14;15;8;20;5;16;5;16;22;15;25;14;11;16;12;15;22;18;20;7;11;9;16;25;25;21;18;23;11
20;11;12;13;16;9;25;26;16;21;18;22;13;26;23;17;16;22;25;16;23;19;18;23;20;21;21;22;23;22
20;23;15;30;25;22;4;1;1;7;9;10;3;19;7;1;2;16;12;23;10;20;14;13;8;19;23;14;17;20
4;6;5;10;18;10;25;17;19;28;13;26;13;13;19;19;17;17;22;29;25;23;12;18;24;22;25;25;25;27
18;14;10;25;28;13;27;14;21;21;22;27;22;26;27;14;19;22;18;17;24;13;19;21;13;15;22;10;5;8
12;5;14;8;11;8;22;19;19;10;20;17;14;22;15;20;24;21;19;13;21;15;19;15;22;18;24;18;24;11
2;0;4;11;3;0;32;30;31;32;25;29;19;28;26;11;21;18;30;31;32;23;15;31;31;27;32;32;32;21
9;15;8;14;7;6;22;18;13;30;15;26;14;6;22;22;7;19;21;23;21;13;13;15;23;25;30;27;28;25
7;1;1;2;8;0;27;26;25;27;23;26;16;19;21;19;24;19;26;26;25;23;17;20;32;25;30;31;32;31
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
16;14;9;15;18;9;27;27;22;29;21;29;22;20;27;10;17;20;22;25;24;16;11;25;22;27;28;26;24;23
20;13;10;12;14;10;26;23;15;11;14;19;21;16;24;15;23;21;20;23;22;18;16;20;22;22;22;20;22;24
21;12;12;14;22;10;25;26;22;28;21;28;24;8;27;12;7;20;21;16;20;10;19;18;20;8;21;21;18;14
10;8;10;11;13;4;23;23;19;25;20;22;20;16;21;18;19;22;21;18;22;17;16;22;24;19;25;19;23;18
28;20;26;20;24;8;17;12;26;15;19;17;28;29;30;19;30;24;17;22;17;7;7;20;25;25;29;25;29;22
19;5;10;10;14;7;29;24;14;23;19;22;20;18;23;23;13;24;22;20;24;20;17;22;23;16;24;22;25;21
14;6;8;18;21;6;20;18;12;10;9;22;21;6;18;12;11;24;28;24;23;7;19;21;22;23;26;23;21;20
14;15;12;17;17;11;23;18;12;22;13;26;24;28;29;23;25;29;27;20;16;9;16;26;16;16;NA;16;21;21
23;23;28;24;20;19;14;14;8;11;16;14;15;18;21;14;13;17;17;16;19;13;27;23;18;24;21;18;22;17
17;13;23;24;18;14;15;21;13;23;16;16;20;25;24;15;28;14;16;13;15;9;16;16;16;23;22;27;26;22
24;12;24;21;23;22;21;17;13;10;17;23;31;10;22;14;15;23;7;7;16;10;8;23;12;10;12;8;13;11
17;17;11;18;22;13;23;20;10;11;10;14;20;5;25;15;4;24;14;12;19;11;18;20;17;21;16;13;19;12
4;5;4;9;12;9;30;25;15;29;26;32;21;23;27;23;13;26;26;24;26;22;15;26;18;19;21;16;23;12
12;5;12;4;9;1;29;25;27;28;21;27;14;28;20;21;25;27;21;20;25;19;12;23;27;23;26;26;29;26
9;14;9;10;18;4;31;28;28;30;26;32;24;18;31;13;17;20;28;12;29;17;14;30;26;21;27;29;28;20
19;13;13;20;16;10;21;15;12;27;20;27;26;22;26;11;13;21;30;26;26;18;22;24;16;19;28;18;20;24
9;16;3;9;15;3;25;24;29;25;23;27;22;27;26;19;26;22;26;10;17;7;7;19;28;22;23;21;23;12
10;0;6;10;7;3;31;29;23;28;24;26;17;27;24;26;24;25;20;17;26;28;12;23;28;24;29;27;31;28
7;5;1;6;2;0;29;31;31;31;26;21;11;16;18;21;14;24;14;20;23;20;9;21;30;24;31;31;32;29
15;18;10;10;15;9;25;25;24;22;23;23;16;14;22;17;12;18;18;12;19;10;16;20;21;22;25;18;24;15
20;11;11;18;16;7;24;21;20;22;13;20;12;9;20;17;10;19;15;23;22;18;17;19;20;25;21;15;21;23
7;5;3;4;10;0;28;29;30;31;29;27;19;18;22;23;25;27;9;15;20;7;4;14;29;28;28;30;30;22
25;19;22;24;18;15;22;14;19;13;18;27;24;21;29;15;12;17;20;20;22;17;17;24;19;21;24;19;17;16
14;6;9;10;14;7;24;24;24;22;19;22;17;22;24;15;22;20;23;15;21;21;14;20;21;19;25;22;18;21
22;14;11;13;23;9;29;25;25;31;27;31;26;20;31;20;21;22;22;10;22;15;11;15;19;12;22;20;22;9
10;16;10;13;20;7;24;14;21;16;23;25;29;26;28;17;22;22;20;12;23;12;15;22;21;16;27;18;22;13
19;9;14;13;18;5;27;20;16;20;22;27;19;28;31;21;26;20;27;24;24;20;17;29;24;21;28;27;23;20
21;21;21;19;19;18;25;21;18;21;20;25;24;18;28;18;23;22;20;21;17;14;20;19;8;11;18;15;20;7
21;15;21;16;25;12;21;17;16;12;18;23;23;15;14;13;23;22;7;6;20;19;7;20;17;17;15;9;11;11
16;9;11;15;16;14;17;20;9;10;20;25;24;20;24;22;15;24;18;18;21;19;21;22;18;21;22;18;24;18
15;9;15;17;21;8;28;23;23;24;18;25;25;24;26;13;23;18;27;15;27;19;18;24;23;16;23;20;25;14
25;17;21;27;24;19;19;20;1;15;16;18;29;28;27;12;26;18;17;18;15;15;20;21;12;24;23;22;19;15
18;4;9;10;17;8;29;25;17;22;16;29;22;13;28;15;12;20;23;22;22;15;18;19;25;21;23;21;27;22
8;7;7;5;7;0;28;25;29;30;28;29;20;32;28;25;29;15;18;14;29;15;4;24;31;29;29;31;32;21
4;8;3;7;11;2;31;29;26;29;24;25;11;28;27;14;14;19;22;13;27;21;13;21;26;21;25;21;25;25
6;17;4;13;13;5;24;26;27;26;19;23;18;7;21;19;17;21;17;12;18;11;13;17;27;25;22;27;26;20
11;12;18;13;14;0;23;29;26;25;20;30;22;29;29;10;14;23;13;9;24;16;11;23;22;24;19;23;27;18
8;6;8;16;12;6;26;22;18;22;25;27;27;29;26;16;25;19;19;22;24;17;14;26;26;19;25;21;26;22
9;7;5;8;16;6;23;16;17;24;23;25;23;28;23;21;24;20;22;16;24;16;12;18;24;21;25;22;23;19
7;5;6;11;22;7;29;25;17;29;22;30;16;18;28;18;11;15;24;13;27;21;19;24;25;21;22;24;22;18
17;11;14;16;20;12;23;23;19;22;24;30;26;21;21;8;24;16;19;11;25;15;8;27;19;15;17;13;14;10
4;0;3;8;3;1;20;6;25;13;8;12;9;16;11;11;28;23;18;14;18;19;12;17;31;25;25;28;31;30
25;16;18;25;22;14;24;21;11;20;17;22;20;20;24;17;18;21;22;17;21;19;27;21;18;17;24;17;13;13
16;12;8;14;19;8;24;22;23;24;20;23;18;21;23;21;23;23;24;17;24;16;23;23;23;16;22;20;22;18
16;14;11;9;16;7;27;18;16;22;20;25;22;26;31;21;23;21;25;27;24;14;20;26;18;12;20;17;17;13
27;12;26;26;19;21;15;13;8;5;12;10;26;23;15;19;14;23;20;18;21;20;26;26;17;18;22;13;18;22
16;17;21;16;23;15;21;20;21;24;17;16;16;20;21;13;14;21;21;24;22;15;23;21;14;15;17;13;13;13
19;15;17;15;17;10;20;22;18;20;21;21;12;21;20;15;20;16;20;15;18;14;13;21;20;18;19;21;19;16
26;18;27;27;23;22;21;18;12;17;16;16;25;29;31;18;21;18;22;27;19;18;26;23;15;15;19;17;15;17
17;7;10;7;10;3;29;21;24;27;22;28;19;20;26;16;21;21;22;19;23;21;14;25;26;26;31;28;24;21
20;10;16;15;11;4;24;27;8;25;14;20;29;22;26;11;21;17;18;23;21;16;24;23;23;28;27;27;28;26
18;12;7;17;9;7;29;23;15;25;14;30;13;6;30;16;14;23;21;30;27;23;20;27;22;19;28;21;24;21
14;10;14;17;14;14;18;16;8;11;15;13;24;24;21;17;23;22;20;19;23;15;25;19;17;18;21;13;19;16
20;10;25;17;18;13;17;15;14;4;13;20;23;19;28;21;25;25;14;27;17;16;9;20;15;4;6;2;10;14
24;16;21;15;15;15;21;18;21;18;18;15;16;18;24;14;14;19;9;16;24;13;17;21;19;24;17;20;22;20
6;5;5;4;1;0;30;32;17;25;26;26;22;28;30;25;27;21;27;30;27;24;13;28;29;28;32;30;28;29
11;12;13;15;16;7;20;21;15;19;16;25;10;18;25;8;10;19;23;20;20;16;21;18;23;19;22;21;21;22
13;7;16;18;16;7;21;26;13;7;19;17;24;15;23;10;24;29;25;19;22;17;14;19;17;16;15;9;15;23
16;16;13;15;17;9;18;19;13;13;18;14;17;14;19;15;12;19;11;12;11;10;8;17;18;21;20;21;18;18
24;9;27;25;20;21;16;17;9;7;23;11;24;24;25;23;25;24;24;21;25;17;17;18;10;14;15;6;4;16
11;15;8;18;18;11;28;24;16;23;22;25;13;16;24;17;9;22;23;10;21;10;28;25;18;19;20;19;22;17
6;5;4;7;10;3;26;26;25;26;24;25;20;29;27;23;28;24;31;19;23;15;16;23;28;21;30;23;25;13
14;15;12;15;18;12;27;20;15;25;18;29;27;21;26;18;18;22;26;21;27;15;23;24;13;14;20;14;16;13
25;27;22;20;23;25;16;24;13;20;21;19;29;28;25;24;15;18;10;9;15;8;9;18;19;21;22;24;18;5
22;25;23;20;18;5;19;13;22;31;24;23;18;30;22;22;23;29;22;16;17;8;26;19;18;15;20;24;21;8
11;7;5;12;10;6;31;26;12;31;14;28;29;23;31;16;8;21;26;23;30;17;12;23;23;24;28;26;28;24
13;12;10;19;10;9;24;21;21;22;21;23;18;20;21;17;21;17;20;18;24;21;20;20;20;22;24;20;18;20
5;4;2;8;11;5;28;27;23;20;23;25;20;24;24;25;29;22;26;26;23;19;22;17;27;24;25;22;29;23
17;26;11;20;28;11;22;21;17;11;20;28;30;12;29;9;28;25;23;10;21;6;7;23;18;10;15;6;13;8
8;10;9;14;17;5;22;24;22;21;23;27;14;16;21;17;19;19;20;15;21;15;17;23;22;17;21;15;19;16
17;7;9;18;9;10;20;19;7;19;16;17;30;22;27;17;25;25;26;28;27;27;15;24;20;16;27;22;27;30
10;4;13;15;12;6;22;15;19;16;22;22;20;20;25;17;22;24;21;20;21;20;14;21;24;21;22;17;22;24
9;4;2;9;8;5;25;20;20;20;19;29;13;25;23;20;27;30;18;9;21;18;12;23;27;19;28;17;25;22
19;13;18;20;15;11;20;6;15;10;19;26;23;29;22;16;21;22;28;23;20;14;22;17;19;21;22;20;18;20
32;30;32;29;31;29;15;9;7;6;10;0;28;23;23;1;10;11;14;19;12;3;25;17;6;14;12;7;7;12
13;7;15;21;20;11;19;18;12;16;17;16;17;11;14;14;15;23;18;20;28;21;19;20;22;17;21;19;19;15
9;8;8;10;6;5;26;30;24;30;25;25;13;23;21;12;20;17;18;13;26;17;21;22;25;28;28;27;29;23
12;10;5;15;19;8;28;19;20;30;22;30;23;20;20;18;14;17;29;25;19;14;15;26;20;18;17;16;19;16
16;13;8;15;15;7;28;19;25;27;23;20;20;19;23;17;18;23;12;14;22;14;20;28;24;29;28;26;32;23
15;6;10;9;18;7;29;25;25;28;23;31;25;31;30;27;23;20;21;18;23;17;18;22;20;22;23;26;25;22
15;13;12;13;16;10;24;25;18;22;18;28;14;24;28;21;15;18;21;27;21;16;25;25;21;21;25;22;27;18
24;13;23;22;22;18;21;14;11;13;15;16;20;17;23;14;12;17;17;12;20;15;19;23;17;22;21;18;17;19
21;15;22;24;21;14;27;16;17;20;17;18;27;21;27;17;21;16;15;12;21;15;15;14;17;14;25;16;22;10
17;9;18;23;17;9;10;5;5;10;15;19;28;21;28;6;23;23;25;19;21;15;26;17;14;11;19;12;11;15
16;18;9;13;18;9;24;19;22;20;19;27;22;29;30;20;29;22;21;15;18;11;12;18;21;19;20;23;19;14
10;11;10;8;21;3;29;28;27;28;27;28;27;23;23;17;25;23;17;12;23;14;10;16;24;24;25;27;22;17
12;5;8;10;8;4;30;24;24;23;26;24;15;22;25;19;22;21;27;30;28;20;18;24;28;25;32;29;30;25
14;11;10;12;21;7;26;22;20;24;20;28;20;17;25;16;24;20;27;29;25;20;23;24;23;21;26;24;24;22
20;14;11;14;19;6;29;18;20;29;25;28;19;23;32;16;22;17;19;18;28;16;17;29;23;23;30;29;21;24
11;6;5;9;9;5;26;22;16;21;22;25;19;24;27;24;25;27;28;21;26;21;11;24;27;20;24;28;26;24
17;14;17;15;16;5;25;22;20;27;22;26;12;12;22;14;14;20;25;14;21;13;12;24;23;25;23;21;24;15
19;5;4;26;26;2;21;12;6;11;24;11;32;32;25;28;32;24;4;4;12;11;1;3;15;20;5;16;24;5
17;23;14;14;18;6;18;22;20;21;19;19;23;19;25;14;22;18;13;10;16;13;15;22;24;20;20;21;24;17
18;5;26;24;15;11;11;3;10;10;10;9;16;5;12;2;3;13;13;26;13;9;24;16;19;11;19;16;15;14
14;6;8;18;5;4;27;30;18;22;15;32;27;14;29;15;14;24;27;12;22;14;9;15;19;25;28;19;28;18
21;14;21;22;23;11;15;21;13;20;24;19;27;20;17;22;25;21;22;25;17;18;19;24;15;11;20;16;19;8
18;23;18;17;23;8;24;26;29;32;28;29;30;29;25;27;31;20;11;8;15;7;4;21;18;10;18;23;18;5
30;17;27;24;26;23;24;19;11;20;22;16;28;21;28;12;22;13;22;14;21;17;17;26;10;10;17;19;11;14
9;10;6;8;18;2;31;29;29;31;29;29;26;26;31;27;31;26;26;22;24;13;14;31;25;18;28;28;28;12
25;22;18;19;23;14;26;26;23;24;22;25;27;25;25;25;27;23;14;17;18;7;14;25;17;18;14;17;17;6
13;5;17;16;8;8;14;3;21;10;13;7;15;11;14;13;21;21;11;13;17;13;14;18;26;29;25;24;27;26
15;11;15;22;13;12;22;17;16;16;17;23;26;13;25;16;22;14;20;21;22;24;20;23;22;16;23;18;23;17
26;11;14;25;17;7;25;13;17;23;19;23;21;12;24;12;14;17;10;15;26;17;13;20;25;27;25;29;24;26
23;20;26;21;25;5;19;14;22;6;15;9;27;21;24;25;27;23;21;14;11;9;14;18;12;13;19;14;8;7
6;4;12;12;23;8;26;28;22;23;31;28;31;23;26;24;25;23;25;13;23;20;9;15;21;22;14;11;19;13
10;4;4;11;9;1;29;28;29;32;29;29;17;23;21;25;26;22;31;25;29;13;4;22;31;23;31;32;29;22
15;10;15;11;19;8;28;21;21;25;27;19;22;27;26;18;27;22;18;14;16;13;14;18;24;26;25;22;22;20
9;8;7;11;12;5;24;24;21;26;26;27;19;18;27;21;21;18;24;25;25;21;15;26;25;20;24;24;25;17
22;20;19;25;29;10;18;6;20;12;17;18;29;21;31;8;27;26;8;9;15;7;22;17;17;26;16;13;15;8
28;19;23;24;25;24;27;19;9;27;25;23;23;23;27;17;13;22;27;19;23;18;25;25;9;11;19;12;10;15
10;7;4;10;11;3;30;25;18;23;19;23;17;25;28;22;19;23;19;20;24;17;19;23;25;22;25;26;29;26
10;7;11;12;12;7;24;9;23;27;20;20;20;27;27;25;29;23;26;21;28;20;27;23;24;14;24;23;27;15
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;7;5;7;9;5;30;29;23;22;20;24;15;15;17;11;19;23;23;27;26;23;17;26;25;21;27;24;26;21
15;6;4;9;17;6;26;29;24;25;28;30;24;22;26;17;21;22;23;9;25;17;16;21;23;23;26;23;25;15
16;14;19;11;19;5;26;18;24;24;27;15;27;10;24;24;14;31;27;19;25;12;11;15;23;23;21;16;23;16
13;7;10;12;18;7;27;25;23;26;16;26;27;22;25;19;27;25;18;17;24;18;7;23;22;21;20;20;24;21
20;18;20;13;20;14;21;20;16;20;20;25;30;15;22;16;19;22;18;13;21;11;17;21;17;25;21;16;24;12
10;2;1;8;12;0;32;27;28;32;26;32;29;25;30;23;30;29;26;27;29;19;12;20;27;22;25;25;29;25
24;18;25;20;23;18;23;23;12;16;20;17;24;24;22;16;17;18;20;11;21;16;13;23;10;13;12;10;16;10
13;5;9;12;16;10;28;25;14;26;20;26;14;23;24;23;19;19;23;25;25;22;24;29;19;19;26;23;26;19
27;21;12;11;10;17;20;23;NA;24;11;13;NA;16;23;14;5;19;11;16;21;13;14;17;21;29;28;26;27;26
6;3;3;6;0;0;24;27;32;31;18;27;21;18;24;18;19;17;18;29;24;25;10;15;32;31;30;31;29;31
7;18;7;9;14;8;23;17;18;24;21;23;15;16;18;20;25;22;23;18;21;8;16;23;16;15;18;16;17;15
21;15;25;15;28;7;14;19;16;10;26;5;27;26;23;27;29;30;8;16;9;1;25;12;13;18;16;20;11;7
15;9;11;13;11;5;27;23;24;22;23;18;17;23;26;18;23;17;19;17;21;NA;14;25;26;25;27;28;27;22
15;11;18;12;17;10;21;16;14;17;14;23;15;26;27;18;21;23;21;18;23;14;22;22;19;19;29;16;27;11
7;5;4;12;6;5;24;26;15;23;16;25;12;18;21;25;16;21;18;22;19;25;13;16;25;24;27;27;30;27
19;11;12;16;10;11;20;17;16;15;18;20;23;24;25;9;21;12;17;21;19;19;17;22;21;26;24;22;18;19
19;6;9;17;20;8;29;20;13;27;17;28;28;23;30;17;25;18;20;26;27;22;16;30;18;18;23;23;15;22
16;15;10;9;17;9;26;20;24;14;23;24;20;11;23;17;12;19;14;13;17;12;9;16;21;15;19;17;23;11
24;20;16;22;21;13;27;19;14;26;13;27;25;17;22;12;16;19;23;15;18;15;19;21;18;17;26;15;14;15
14;7;15;15;24;10;24;23;12;19;21;22;27;28;27;22;27;22;28;23;24;17;20;23;15;21;17;21;15;16
27;8;23;6;24;7;27;26;18;30;26;32;32;32;31;27;31;32;27;15;30;20;11;29;19;8;23;3;21;4
12;7;13;16;15;13;25;26;11;19;18;22;25;21;22;25;20;27;22;20;23;16;25;26;19;15;24;14;17;9
15;11;4;16;15;6;11;4;16;27;6;7;7;10;11;9;6;28;7;17;12;13;22;17;18;24;27;16;27;22
14;17;13;13;23;6;24;30;31;32;24;27;25;28;30;19;30;24;22;10;20;13;7;19;26;16;17;27;20;12
11;8;11;8;11;5;31;25;26;23;24;26;23;31;29;14;30;17;25;26;25;20;18;23;25;24;31;28;27;26
19;7;19;23;20;15;21;13;12;13;17;16;25;18;21;10;24;21;24;22;17;16;17;18;17;15;20;17;17;15
13;15;14;17;20;5;28;27;28;25;25;30;21;27;31;21;27;27;26;13;23;15;8;26;26;13;23;20;22;14
15;19;16;17;25;11;24;29;26;21;13;28;28;19;28;15;14;14;13;9;16;6;18;17;18;10;10;11;4;11
26;6;28;17;24;19;20;16;15;14;13;23;25;22;27;20;21;28;26;17;19;16;14;20;17;23;12;17;9;12
14;11;15;18;20;10;18;21;20;23;17;22;23;26;21;22;23;26;21;17;18;13;11;22;20;7;10;16;14;16
17;32;19;28;30;16;21;22;19;28;25;10;27;25;28;24;19;16;12;13;21;2;21;23;16;20;24;25;21;2
14;18;11;11;25;12;26;28;22;21;19;27;29;19;27;19;18;18;18;10;20;10;18;25;13;12;18;11;13;8
13;4;6;6;10;1;28;23;27;25;15;27;23;29;29;18;29;27;28;26;28;19;19;24;28;28;28;29;27;25
16;8;11;11;16;12;27;21;9;28;19;26;30;24;26;15;7;20;25;23;26;17;17;23;15;20;25;21;21;19
24;14;22;18;28;10;24;21;14;12;19;23;28;17;25;14;19;22;20;22;23;18;18;22;11;10;17;9;12;7
8;9;5;11;13;7;28;27;25;25;22;26;14;18;22;23;19;23;22;15;22;16;13;22;26;26;26;24;26;23
28;22;25;19;31;14;17;18;13;19;24;22;28;27;26;20;17;25;7;6;12;16;16;10;18;24;11;14;23;1
5;11;3;6;28;12;27;25;16;20;28;32;27;25;22;17;15;24;18;4;25;8;2;19;12;10;8;6;10;2
14;29;19;16;30;15;28;28;28;31;30;30;26;22;20;6;18;14;6;2;16;2;3;24;11;3;9;8;7;4
6;10;12;10;16;6;23;16;13;21;17;23;20;25;26;15;25;18;19;23;22;16;15;19;23;24;26;22;24;22
19;15;18;14;NA;12;24;23;14;15;15;24;11;NA;NA;9;19;18;19;19;19;18;16;NA;18;18;NA;17;14;15
23;16;21;20;22;10;25;24;10;11;27;24;19;28;26;15;27;21;29;21;21;13;25;28;14;21;24;23;15;11
11;22;16;8;23;3;18;20;24;17;23;24;31;29;29;17;29;18;15;9;16;10;8;23;18;5;17;14;11;12
17;14;14;14;12;16;21;19;15;17;15;28;7;18;12;14;22;25;16;18;7;10;15;NA;4;19;9;13;7;23
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
12;9;9;12;14;5;16;20;20;25;19;20;14;15;22;17;12;24;17;26;23;12;26;20;28;25;23;27;27;27
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
